SampleID	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
38A	3693	5.893463049	0.717473041	7/14/14	38	A	LL12346	2	7	3	2	3	38.5	Sh	Sh	1	1	3	1	1	1	0	0	97	93.2	1	1	1	1	1	2	121
38B	4584	6.148640959	0.729347838	7/15/14	38	B	LL12346	2	8	3	2	3	38.4	Sh	NS	2	1	0	0	0	1	0	0	91	93.2	1	1	1	2	4	2	122
38C	3693	6.112981768	0.744197356	7/16/14	38	C	LL12346	2	9	3	2	3	38.5	Sh	NS	3	1	0	0	0	1	0	0	90	93.2	1	1	1	2	4	2	123
38D	4121	6.1201752	0.735257647	7/17/14	38	D	LL12346	2	10	3	2	3	38.5	Sh	NS	4	1	0	0	0	1	0	0	93	93.2	1	1	1	2	4	2	124
38E	3628	6.03281188	0.736028596	7/18/14	38	E	LL12346	2	11	3	2	3	38.4	Sh	NS	5	1	0	0	0	1	0	0	95	93.2	1	1	1	2	4	2	125
44A	4224	6.294159434	0.753923569	7/14/14	44	A	LL12415	2	3	3	3	3	39.8	Sh	Sh	1	1	1	0	0	0	1	1	65	54	0	0	0	2	4	0	126
44B	3669	6.041873392	0.736124885	7/15/14	44	B	LL12415	2	4	4	3	3	39.4	Sh	NS	2	1	0	0	0	0	1	1	49	54	0	0	0	2	4	0	127
44C	3716	5.926407726	0.720938822	7/16/14	44	C	LL12415	2	5	3	3	3	39.8	Sh	NS	3	1	0	0	0	0	1	1	48	54	0	0	0	2	4	0	128
44D	4424	6.006487277	0.715500977	7/17/14	44	D	LL12415	2	6	3	3	3	39.9	Sh	NS	4	1	0	0	0	0	1	1	51	54	0	0	0	2	4	0	129
44E	4209	5.747133071	0.68869342	7/18/14	44	E	LL12415	2	7	3	3	3	39.4	Sh	NS	5	1	0	0	0	0	1	1	57	54	0	0	0	2	4	0	130
