SampleID	OTUcts	OTUctsnormed	Normrich	Normshann	Normeven	Scaledrich	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	Parity_1	DIM	DIM_1	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Path_1.0	Path_1.1	Pathotype_1	Pathotype_2	Pattern_1.0	Pattern_1.1	Pattern_1.2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	Evnev_1.0	Evnev_1.1	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
24C	39714	8191.831683	5162	6.475798837	0.757484935	0.813121421	5162	6.475798837	0.757484935	7/16/14	24	C	LL11473	3	3	19	0	3	2	3	38.6	NS	NS	3	1	0	1	0	0	0	1	0	0	0	0	0	100	98.8	0	1	0	0	0	2	4	0	158
24D	35312	7822.773593	4831	6.433476198	0.758413443	0.539810235	4831	6.433476198	0.758413443	7/17/14	24	D	LL11473	3	3	20	0	3	2	3	38.7	NS	NS	4	1	0	1	0	0	0	1	0	0	0	0	0	104	98.8	0	1	0	0	0	2	4	0	159
24E	33490	8097.195358	4445	6.393796496	0.761208374	0.221084804	4445	6.393796496	0.761208374	7/18/14	24	E	LL11473	3	3	21	0	3	2	3	38.7	NS	NS	5	1	0	1	0	0	0	1	0	0	0	0	0	101	98.8	0	1	0	0	0	2	4	0	160
29A	62658	16249.48133	4442	5.777918426	0.687940795	0.218607663	4442	5.777918426	0.687940795	7/14/14	29	A	LL13261	1	1	9	1	3	2	3	38.7	NS	NS	1	1	0	1	0	0	0	1	0	0	0	1	1	73	73.6	0	1	0	0	0	2	4	0	191
29B	81646	14879.89794	6307	6.308847065	0.721059268	1.758563438	6307	6.308847065	0.721059268	7/15/14	29	B	LL13261	1	1	10	1	3	2	3	38.9	NS	NS	2	1	0	1	0	0	0	1	0	0	0	1	1	69	73.6	0	1	0	0	0	2	4	0	192
29C	57588	13017.17902	5009	6.006461105	0.70506715	0.686787247	5009	6.006461105	0.70506715	7/16/14	29	C	LL13261	1	1	11	0	3	2	3	39.8	NS	NS	3	1	0	1	0	0	0	1	0	0	0	1	1	73	73.6	0	1	0	0	0	2	4	0	193
29D	56404	16078.67731	4114	5.890013302	0.707751308	-0.052226382	4114	5.890013302	0.707751308	7/17/14	29	D	LL13261	1	1	12	0	3	2	3	38.5	NS	NS	4	1	0	1	0	0	0	1	0	0	0	1	1	76	73.6	0	1	0	0	0	2	4	0	194
29E	63929	14836.15688	4925	6.03306588	0.709598851	0.617427309	4925	6.03306588	0.709598851	7/18/14	29	E	LL13261	1	1	13	0	3	2	3	38.9	NS	NS	5	1	0	1	0	0	0	1	0	0	0	1	1	77	73.6	0	1	0	0	0	2	4	0	195
30A	76466	12076.12129	6896	6.497995575	0.735175752	2.24490872	6896	6.497995575	0.735175752	7/14/14	30	A	LL13265	1	1	14	0	3	2	4	38.9	NS	NS	1	1	0	1	0	0	0	0	1	0	1	0	0	59	63.8	1	0	1	1	1	2	4	2	196
30B	69481	12387.41309	6263	6.50771993	0.744384731	1.722232042	6263	6.50771993	0.744384731	7/15/14	30	B	LL13265	1	1	15	0	3	2	4	38.4	NS	NS	2	1	0	1	0	0	0	0	1	0	1	0	0	63	63.8	1	0	1	1	1	2	4	2	197
30C	93670	12061.55035	8414	6.571874721	0.727166141	3.498341893	8414	6.571874721	0.727166141	7/16/14	30	C	LL13265	1	1	16	0	3	2	4	38.8	NS	Sh	3	1	1	1	0	0	0	0	1	0	1	0	0	61	63.8	1	0	1	1	1	0	0	1	198
30D	104548	11210.37958	9913	6.79264213	0.738202098	4.736086508	9913	6.79264213	0.738202098	7/17/14	30	D	LL13265	1	1	17	0	3	2	4	38.9	NS	Sh	4	1	3	0	1	1	1	0	1	0	1	0	0	68	63.8	1	0	1	1	1	1	1	2	199
30E	93914	16128.11266	6736	6.450031434	0.731692493	2.112794552	6736	6.450031434	0.731692493	7/18/14	30	E	LL13265	1	1	18	0	3	2	4	38.9	NS	Sh	5	1	1	1	0	0	0	0	1	0	1	0	0	68	63.8	1	0	1	1	1	2	4	2	200
