SampleID	Obs_richness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
52D	4052	7/17/14	52	D	H1697	3	7	2	2	2	38.3	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	89
52E	3116	7/18/14	52	E	H1697	3	8	2	2	2	38.8	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	90
64A	3801	7/14/14	64	A	H2745	2	4	3	2	3	38.6	NS	NS	1	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	91
64B	3937	7/15/14	64	B	H2745	2	5	3	2	3	38.6	NS	NS	2	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	92
64C	2622	7/16/14	64	C	H2745	2	6	3	2	3	38.7	NS	NS	3	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	93
64D	2905	7/17/14	64	D	H2745	2	7	3	2	3	38.5	NS	NS	4	2	0	0	0	1	1	1	NA	NA	1	1	1	0	0	1	94
64E	1122	7/18/14	64	E	H2745	2	8	2	2	3	41.2	NS	Sh	5	2	3	1	1	1	1	1	NA	NA	1	1	1	1	1	2	95
57B	4461	7/15/14	57	B	H2812	1	10	3	3	2	38.8	NS	Sh	2	2	2	1	2	1	0	0	NA	NA	2	1	2	1	3	2	97
57C	4824	7/16/14	57	C	H2812	1	11	3	3	2	38.9	NS	NS	3	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	98
57D	3781	7/17/14	57	D	H2812	1	12	3	3	2	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	99
57E	4472	7/18/14	57	E	H2812	1	13	3	3	2	38.9	NS	NS	5	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	100
42A	4761	7/14/14	42	A	LL6881	5	7	2	2	2	39.3	Sh	Sh	1	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	101
42B	5273	7/15/14	42	B	LL6881	5	8	3	2	2	39.1	Sh	NS	2	1	0	0	0	0	2	1	59	63	0	0	0	2	4	0	102
42C	6078	7/16/14	42	C	LL6881	5	9	3	2	2	39.2	Sh	Sh	3	1	1	0	0	0	2	1	62	63	0	0	0	2	4	0	103
42D	4473	7/17/14	42	D	LL6881	5	10	3	2	2	38.9	Sh	Sh	4	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	104
42E	5058	7/18/14	42	E	LL6881	5	11	3	2	2	39.1	Sh	NS	5	1	0	0	0	0	2	1	62	63	0	0	0	2	4	0	105
45A	2986	7/14/14	45	A	LL11780	3	2	3	1	2	38.1	Sh	Sh	1	1	1	0	0	1	0	0	80	83	1	1	1	2	4	2	106
45B	1198	7/15/14	45	B	LL11780	3	3	3	1	2	38.5	Sh	Sh	2	1	1	0	0	1	0	0	77	83	1	1	1	2	4	2	107
45C	3654	7/16/14	45	C	LL11780	3	4	3	1	2	38.5	Sh	Sh	3	1	1	0	0	1	0	0	91	83	1	1	1	0	0	1	108
45D	3581	7/17/14	45	D	LL11780	3	5	3	1	2	38.5	Sh	Sh	4	1	3	1	1	1	0	0	83	83	1	1	1	1	1	2	109
45E	5722	7/18/14	45	E	LL11780	3	6	3	1	2	38.5	Sh	NS	5	1	0	0	0	1	0	0	84	83	1	1	1	2	4	2	110
20A	4747	7/14/14	20	A	LL11810	3	6	3	2	3	38.6	Sh	Sh	1	1	1	0	0	0	0	0	114	105.2	0	0	0	2	4	0	111
20B	4823	7/15/14	20	B	LL11810	3	7	3	2	3	38.7	Sh	NS	2	1	0	0	0	0	0	0	102	105.2	0	0	0	2	4	0	112
20C	6090	7/16/14	20	C	LL11810	3	8	3	2	3	38.6	Sh	Sh	3	1	1	0	0	0	0	0	96	105.2	0	0	0	2	4	0	113
20D	5357	7/17/14	20	D	LL11810	3	9	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	108	105.2	0	0	0	2	4	0	114
20E	4883	7/18/14	20	E	LL11810	3	10	3	2	3	39	Sh	NS	5	1	0	0	0	0	0	0	106	105.2	0	0	0	2	4	0	115
34A	4139	7/14/14	34	A	LL11816	3	5	3	2	3	38.7	Sh	Sh	1	1	1	0	0	0	0	0	110	103.4	0	0	0	2	4	0	116
34B	6940	7/15/14	34	B	LL11816	3	6	3	2	3	38.6	Sh	NS	2	1	0	0	0	0	0	0	98	103.4	0	0	0	2	4	0	117
34C	5896	7/16/14	34	C	LL11816	3	7	3	2	3	38.9	Sh	Sh	3	1	1	0	0	0	0	0	104	103.4	0	0	0	2	4	0	118
34D	1258	7/17/14	34	D	LL11816	3	8	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	80	103.4	0	0	0	2	4	0	119
34E	4333	7/18/14	34	E	LL11816	3	9	3	2	3	38.4	Sh	NS	5	1	0	0	0	0	0	0	125	103.4	0	0	0	2	4	0	120
38A	3693	7/14/14	38	A	LL12346	2	7	3	2	3	38.5	Sh	Sh	1	1	3	1	1	1	0	0	97	93.2	1	1	1	1	1	2	121
38B	4584	7/15/14	38	B	LL12346	2	8	3	2	3	38.4	Sh	NS	2	1	0	0	0	1	0	0	91	93.2	1	1	1	2	4	2	122
38C	3693	7/16/14	38	C	LL12346	2	9	3	2	3	38.5	Sh	NS	3	1	0	0	0	1	0	0	90	93.2	1	1	1	2	4	2	123
38D	4121	7/17/14	38	D	LL12346	2	10	3	2	3	38.5	Sh	NS	4	1	0	0	0	1	0	0	93	93.2	1	1	1	2	4	2	124
38E	3628	7/18/14	38	E	LL12346	2	11	3	2	3	38.4	Sh	NS	5	1	0	0	0	1	0	0	95	93.2	1	1	1	2	4	2	125
44A	4224	7/14/14	44	A	LL12415	2	3	3	3	3	39.8	Sh	Sh	1	1	1	0	0	0	1	1	65	54	0	0	0	2	4	0	126
44B	3669	7/15/14	44	B	LL12415	2	4	4	3	3	39.4	Sh	NS	2	1	0	0	0	0	1	1	49	54	0	0	0	2	4	0	127
44C	3716	7/16/14	44	C	LL12415	2	5	3	3	3	39.8	Sh	NS	3	1	0	0	0	0	1	1	48	54	0	0	0	2	4	0	128
44D	4424	7/17/14	44	D	LL12415	2	6	3	3	3	39.9	Sh	NS	4	1	0	0	0	0	1	1	51	54	0	0	0	2	4	0	129
44E	4209	7/18/14	44	E	LL12415	2	7	3	3	3	39.4	Sh	NS	5	1	0	0	0	0	1	1	57	54	0	0	0	2	4	0	130
18A	526	7/14/14	18	A	LL13016	1	10	3	2	3	39.1	Sh	Sh	1	1	1	0	0	1	2	1	77	77.8	2	1	2	2	4	2	131
18B	4714	7/15/14	18	B	LL13016	1	11	3	2	3	38.6	Sh	NS	2	1	0	0	0	1	2	1	NA	77.8	2	1	2	2	4	2	132
18C	6322	7/16/14	18	C	LL13016	1	12	3	2	3	38.6	Sh	Sh	3	1	1	0	0	1	2	1	71	77.8	2	1	2	2	4	2	133
18D	5676	7/17/14	18	D	LL13016	1	13	3	2	3	38.7	Sh	Sh	4	1	1	0	0	1	2	1	84	77.8	2	1	2	0	2	1	134
18E	5730	7/18/14	18	E	LL13016	1	14	3	2	3	38.5	Sh	Sh	5	1	2	1	2	1	2	1	79	77.8	2	1	2	1	3	2	135
35A	5859	7/14/14	35	A	LL13122	1	9	3	1	3	39.3	Sh	Sh	1	1	1	0	0	0	1	1	35	43.6	0	0	0	2	4	0	136
35B	4497	7/15/14	35	B	LL13122	1	10	4	1	3	38.8	Sh	NS	2	1	0	0	0	0	1	1	43	43.6	0	0	0	2	4	0	137
35C	4647	7/16/14	35	C	LL13122	1	11	3	1	3	38.3	Sh	NS	3	1	0	0	0	0	1	1	44	43.6	0	0	0	2	4	0	138
35D	5369	7/17/14	35	D	LL13122	1	12	3	1	3	38.8	Sh	NS	4	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	139
35E	5155	7/18/14	35	E	LL13122	1	13	3	1	3	38.6	Sh	NS	5	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	140
1A	3107	7/14/14	1	A	LL13140	1	14	2	2	3	38	Sh	Sh	1	1	1	0	0	2	2	1	45	47.8	3	1	3	2	4	2	141
1B	2910	7/15/14	1	B	LL13140	1	15	3	2	3	38.4	Sh	Sh	2	1	1	0	0	2	2	1	48	47.8	3	1	3	2	4	2	142
1C	602	7/16/14	1	C	LL13140	1	16	3	2	3	38.3	Sh	Sh	3	1	1	0	0	2	2	1	49	47.8	3	1	3	0	2	1	143
1D	2248	7/17/14	1	D	LL13140	1	17	1	2	3	38.6	Sh	Sh	4	1	2	1	2	2	2	1	46	47.8	3	1	3	1	3	2	144
1E	3333	7/18/14	1	E	LL13140	1	18	3	2	3	38.9	Sh	Sh	5	1	3	1	1	2	2	1	51	47.8	3	1	3	1	1	2	145
10A	4837	7/14/14	10	A	LL13254	1	11	3	2	2	38.9	Sh	Sh	1	1	3	1	1	2	2	1	73	62.6	3	1	1	1	1	2	146
10B	6006	7/15/14	10	B	LL13254	1	12	3	2	2	38.4	Sh	Sh	2	1	3	1	1	2	2	1	51	62.6	3	1	1	1	1	2	147
10C	5149	7/16/14	10	C	LL13254	1	13	3	2	2	38.6	Sh	Sh	3	1	3	1	1	2	2	1	61	62.6	3	1	1	1	1	2	148
10D	4590	7/17/14	10	D	LL13254	1	14	3	2	2	38.5	Sh	Sh	4	1	1	0	0	2	2	1	63	62.6	3	1	1	2	4	2	149
10E	4420	7/18/14	10	E	LL13254	1	15	3	2	2	38.3	Sh	Sh	5	1	1	0	0	2	2	1	65	62.6	3	1	1	2	4	2	150
6A	4365	7/14/14	6	A	LL7957	4	13	3	3	1	38.9	NS	NS	1	1	0	0	0	1	0	1	92	90	1	1	1	2	4	2	151
6B	4570	7/15/14	6	B	LL7957	4	14	3	3	1	38.3	NS	NS	2	1	0	0	0	1	0	1	82	90	1	1	1	2	4	2	152
6C	5061	7/16/14	6	C	LL7957	4	15	3	3	1	38.9	NS	NS	3	1	0	0	0	1	0	1	90	90	1	1	1	0	0	1	153
6D	4416	7/17/14	6	D	LL7957	4	16	3	3	1	38.2	NS	Sh	4	1	3	1	1	1	0	1	96	90	1	1	1	1	1	2	154
6E	1403	7/18/14	6	E	LL7957	4	17	3	3	1	38.8	NS	NS	5	1	0	0	0	1	0	1	90	90	1	1	1	2	4	2	155
24A	3810	7/14/14	24	A	LL11473	3	17	3	2	3	38.9	NS	NS	1	1	0	0	0	0	0	0	95	98.8	0	0	0	2	4	0	156
24B	4949	7/15/14	24	B	LL11473	3	18	3	2	3	38.9	NS	NS	2	1	0	0	0	0	0	0	94	98.8	0	0	0	2	4	0	157
24C	5162	7/16/14	24	C	LL11473	3	19	3	2	3	38.6	NS	NS	3	1	0	0	0	0	0	0	100	98.8	0	0	0	2	4	0	158
24D	4831	7/17/14	24	D	LL11473	3	20	3	2	3	38.7	NS	NS	4	1	0	0	0	0	0	0	104	98.8	0	0	0	2	4	0	159
24E	4445	7/18/14	24	E	LL11473	3	21	3	2	3	38.7	NS	NS	5	1	0	0	0	0	0	0	101	98.8	0	0	0	2	4	0	160
7A	NA	7/14/14	7	A	LL11583	3	15	3	2	3	37.9	NS	NS	1	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	161
7B	4826	7/15/14	7	B	LL11583	3	16	3	2	3	38.4	NS	Sh	2	1	1	0	0	0	0	1	94	90.4	0	0	0	2	4	0	162
7C	5255	7/16/14	7	C	LL11583	3	17	3	2	3	38.4	NS	Sh	3	1	1	0	0	0	0	1	90	90.4	0	0	0	2	4	0	163
7D	4675	7/17/14	7	D	LL11583	3	18	3	2	3	39	NS	NS	4	1	0	0	0	0	0	1	87	90.4	0	0	0	2	4	0	164
7E	5153	7/18/14	7	E	LL11583	3	19	3	2	3	38.1	NS	NS	5	1	0	0	0	0	0	1	94	90.4	0	0	0	2	4	0	165
39A	5483	7/14/14	39	A	LL11996	3	6	3	2	2	38.7	NS	NS	1	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	166
39B	1958	7/15/14	39	B	LL11996	3	7	3	2	2	38.7	NS	NS	2	1	0	0	0	0	1	1	50	60.8	0	0	0	2	4	0	167
39C	5126	7/16/14	39	C	LL11996	3	8	3	2	2	38.6	NS	NS	3	1	0	0	0	0	1	1	54	60.8	0	0	0	2	4	0	168
39D	4389	7/17/14	39	D	LL11996	3	9	4	2	2	38.8	NS	NS	4	1	0	0	0	0	1	1	64	60.8	0	0	0	2	4	0	169
39E	4496	7/18/14	39	E	LL11996	3	10	3	2	2	38.8	NS	NS	5	1	0	0	0	0	1	1	82	60.8	0	0	0	2	4	0	170
14A	4019	7/14/14	14	A	LL12276	2	11	3	2	4	38.9	NS	NS	1	1	0	0	0	0	2	1	105	109.4	0	0	0	2	4	0	171
14B	3367	7/15/14	14	B	LL12276	2	12	3	2	4	38.9	NS	NS	2	1	0	0	0	0	2	1	114	109.4	0	0	0	2	4	0	172
14C	4065	7/16/14	14	C	LL12276	2	13	3	2	4	38.9	NS	Sh	3	1	1	0	0	0	2	1	100	109.4	0	0	0	2	4	0	173
14D	3996	7/17/14	14	D	LL12276	2	14	3	2	4	38.9	NS	NS	4	1	0	0	0	0	2	1	118	109.4	0	0	0	2	4	0	174
14E	4444	7/18/14	14	E	LL12276	2	15	3	2	4	39.3	NS	NS	5	1	0	0	0	0	2	1	110	109.4	0	0	0	2	4	0	175
48A	3820	7/14/14	48	A	LL12484	2	3	2	2	3	38.6	NS	NS	1	1	0	0	0	2	2	1	95	93.6	3	1	1	0	0	1	176
48B	3099	7/15/14	48	B	LL12484	2	4	3	2	3	38.4	NS	Sh	2	1	3	1	1	2	2	1	86	93.6	3	1	1	1	1	2	177
48C	5096	7/16/14	48	C	LL12484	2	5	3	2	3	38.8	NS	Sh	3	1	3	1	1	2	2	1	92	93.6	3	1	1	1	1	2	178
48D	2009	7/17/14	48	D	LL12484	2	6	3	2	3	38.6	NS	Sh	4	1	3	1	1	2	2	1	97	93.6	3	1	1	1	1	2	179
48E	3474	7/18/14	48	E	LL12484	2	7	3	2	3	38.9	NS	Sh	5	1	3	1	1	2	2	1	98	93.6	3	1	1	1	1	2	180
