SampleID	Obs_richness	Shannon_norm	Shannon_nonnorm	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	DIM	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Pathotype_1	Pathotype_2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
63B	3630	5.941492446	5.941492446	7/15/14	63	B	H1889	2	1	3	3	3	38.4	Sh	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	2	4	2	17
63C	5476	6.073219764	6.073219764	7/16/14	63	C	H1889	2	2	3	3	3	38.6	Sh	NS	3	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	18
63D	4044	6.004636035	6.004636035	7/17/14	63	D	H1889	2	3	3	3	3	38.9	Sh	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	0	0	1	19
63E	4444	5.711573525	5.711573525	7/18/14	63	E	H1889	2	4	2	3	3	38.8	Sh	Sh	5	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	20
58A	4388	5.960214827	5.960214827	7/14/14	58	A	H2729	2	5	3	2	2	38.7	Sh	Sh	1	2	1	0	0	1	1	1	NA	NA	1	1	1	2	4	2	21
58B	5419	6.204381292	6.204381292	7/15/14	58	B	H2729	2	6	3	2	2	38.5	Sh	Sh	2	2	1	0	0	1	1	1	NA	NA	1	1	1	0	0	1	22
58C	3922	5.977398237	5.977398237	7/16/14	58	C	H2729	2	7	3	2	2	39	Sh	Sh	3	2	3	1	1	1	1	1	NA	NA	1	1	1	1	1	2	23
58D	3520	5.97224325	5.97224325	7/17/14	58	D	H2729	2	8	2	2	2	38.9	Sh	NS	4	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	24
58E	4320	5.867720161	5.867720161	7/18/14	58	E	H2729	2	9	3	2	2	39	Sh	NS	5	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	25
55A	4725	6.176127715	6.176127715	7/14/14	55	A	H4387	1	2	3	2	3	38.4	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	26
55B	4886	6.335868177	6.335868177	7/15/14	55	B	H4387	1	3	4	2	3	38.8	Sh	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	27
55C	4416	6.078140368	6.078140368	7/16/14	55	C	H4387	1	4	3	2	3	39.2	Sh	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	28
55D	3788	5.992621849	5.992621849	7/17/14	55	D	H4387	1	5	3	2	3	39.2	Sh	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	29
55E	4047	5.831295886	5.831295886	7/18/14	55	E	H4387	1	6	3	2	3	39.2	Sh	Sh	5	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	30
62A	3654	6.442416743	6.442416743	7/14/14	62	A	H4452	1	3	3	2	4	38.8	Sh	Sh	1	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	31
62B	4510	5.994304395	5.994304395	7/15/14	62	B	H4452	1	4	3	2	4	38.8	Sh	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	32
62C	4116	6.191285422	6.191285422	7/16/14	62	C	H4452	1	5	3	2	4	38.7	Sh	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	33
62D	5219	6.240565283	6.240565283	7/17/14	62	D	H4452	1	6	3	2	4	38.9	Sh	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	34
62E	5276	6.363583396	6.363583396	7/18/14	62	E	H4452	1	7	2	2	4	39	Sh	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	35
65A	4785	6.448375743	6.448375743	7/14/14	65	A	H4492	1	11	3	2	3	38.3	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	36
65B	5011	6.59130722	6.59130722	7/15/14	65	B	H4492	1	12	3	2	3	38.5	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	37
65C	4438	6.453053663	6.453053663	7/16/14	65	C	H4492	1	13	3	2	3	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	38
65D	1927	6.021451311	6.021451311	7/17/14	65	D	H4492	1	14	3	2	3	38.9	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	39
65E	5043	6.598295122	6.598295122	7/18/14	65	E	H4492	1	15	3	2	3	38.9	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	40
66A	4208	5.743479178	5.743479178	7/14/14	66	A	H4497	1	14	2	2	2	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	41
66B	5008	6.089495091	6.089495091	7/15/14	66	B	H4497	1	15	3	2	2	38.7	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	42
66C	3841	5.699527465	5.699527465	7/16/14	66	C	H4497	1	16	3	2	2	38.7	Sh	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	43
66D	3826	5.918385558	5.918385558	7/17/14	66	D	H4497	1	17	3	2	2	38.5	Sh	Sh	4	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	44
66E	3134	5.735779751	5.735779751	7/18/14	66	E	H4497	1	18	3	2	2	38.7	Sh	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	45
70A	4935	6.341053185	6.341053185	7/14/14	70	A	H6039	1	12	3	3	4	38.6	Sh	Sh	1	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	46
70B	3390	6.15344706	6.15344706	7/15/14	70	B	H6039	1	13	3	3	4	38.8	Sh	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	47
70C	3414	6.199325589	6.199325589	7/16/14	70	C	H6039	1	14	3	3	4	38.6	Sh	Sh	3	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	48
70D	3623	6.173365982	6.173365982	7/17/14	70	D	H6039	1	15	3	3	4	38.5	Sh	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	49
70E	4225	6.273512171	6.273512171	7/18/14	70	E	H6039	1	16	3	3	4	38.5	Sh	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	50
69A	4278	6.534370824	6.534370824	7/14/14	69	A	H2823	1	9	3	2	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	51
69B	3301	6.356713731	6.356713731	7/15/14	69	B	H2823	1	10	3	2	3	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	52
69C	776	5.5431091	5.5431091	7/16/14	69	C	H2823	1	11	3	2	3	38.8	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	53
69D	4733	6.450603974	6.450603974	7/17/14	69	D	H2823	1	12	3	2	3	38.8	NS	Sh	4	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	54
69E	4343	6.286721149	6.286721149	7/18/14	69	E	H2823	1	13	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	55
68A	3641	6.064209864	6.064209864	7/14/14	68	A	H2847	1	1	3	4	3	38.4	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	56
68B	3691	6.197387183	6.197387183	7/15/14	68	B	H2847	1	2	3	4	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	57
68C	4356	6.19123294	6.19123294	7/16/14	68	C	H2847	1	3	3	4	3	38.9	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	58
68D	3634	6.079436627	6.079436627	7/17/14	68	D	H2847	1	4	3	4	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	59
68E	3820	6.071215627	6.071215627	7/18/14	68	E	H2847	1	5	3	4	3	39	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	60
61A	4173	6.07859732	6.07859732	7/14/14	61	A	H2854	1	8	1	2	3	39.1	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	61
61B	5693	6.442903498	6.442903498	7/15/14	61	B	H2854	1	9	2	2	3	39.6	NS	NS	2	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	62
61C	3414	5.433918774	5.433918774	7/16/14	61	C	H2854	1	10	3	2	3	39.9	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	63
61D	2700	5.536990205	5.536990205	7/17/14	61	D	H2854	1	11	3	2	3	39.5	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	64
61E	2819	5.651613682	5.651613682	7/18/14	61	E	H2854	1	12	3	2	3	39.4	NS	NS	5	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	65
74A	3171	5.941672561	5.941672561	7/14/14	74	A	H4419	1	3	3	4	3	38.9	NS	NS	1	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	66
74B	3277	6.051417721	6.051417721	7/15/14	74	B	H4419	1	4	3	4	3	38.9	NS	Sh	2	2	1	0	0	1	0	0	NA	NA	1	1	1	0	0	1	67
74C	2999	5.841828861	5.841828861	7/16/14	74	C	H4419	1	5	3	4	3	39.3	NS	Sh	3	2	3	1	1	1	0	0	NA	NA	1	1	1	1	1	2	68
74D	3181	5.872449028	5.872449028	7/17/14	74	D	H4419	1	6	3	4	3	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	69
74E	3631	6.027217334	6.027217334	7/18/14	74	E	H4419	1	7	3	4	3	39.2	NS	NS	5	2	0	0	0	1	0	0	NA	NA	1	1	1	2	4	2	70
73A	3104	5.781696427	5.781696427	7/14/14	73	A	H4471	1	6	3	2	3	38.6	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	71
73B	3201	5.890736684	5.890736684	7/15/14	73	B	H4471	1	7	3	2	3	38.9	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	72
73C	4215	6.219147451	6.219147451	7/16/14	73	C	H4471	1	8	3	2	3	39	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	73
73D	3496	6.055568891	6.055568891	7/17/14	73	D	H4471	1	9	3	2	3	38.9	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	74
73E	2783	5.714044985	5.714044985	7/18/14	73	E	H4471	1	10	3	2	3	38.6	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	75
53A	4449	6.188661619	6.188661619	7/14/14	53	A	H413	6	13	2	3	2	38.4	NS	NS	1	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	76
53B	3825	6.231971139	6.231971139	7/15/14	53	B	H413	6	14	3	3	2	38	NS	Sh	2	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	77
53C	3538	6.235395373	6.235395373	7/16/14	53	C	H413	6	15	3	3	2	38	NS	NS	3	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	78
53D	4103	6.401994838	6.401994838	7/17/14	53	D	H413	6	16	2	3	2	38	NS	NS	4	2	0	0	0	0	1	1	NA	NA	0	0	0	2	4	0	79
53E	3581	6.271063653	6.271063653	7/18/14	53	E	H413	6	17	3	3	2	37.9	NS	Sh	5	2	1	0	0	0	1	1	NA	NA	0	0	0	2	4	0	80
60B	3671	5.913675285	5.913675285	7/15/14	60	B	H1677	3	3	3	2	3	38.6	NS	NS	2	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	82
60C	3270	6.076447361	6.076447361	7/16/14	60	C	H1677	3	4	3	2	3	38.9	NS	NS	3	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	83
60D	3037	5.843160746	5.843160746	7/17/14	60	D	H1677	3	5	3	2	3	38.6	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	84
60E	3737	5.858627564	5.858627564	7/18/14	60	E	H1677	3	6	3	2	3	39.1	NS	Sh	5	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	85
52A	2991	5.318205971	5.318205971	7/14/14	52	A	H1697	3	4	2	2	2	38.5	NS	NS	1	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	86
52B	4994	6.129056085	6.129056085	7/15/14	52	B	H1697	3	5	3	2	2	38.7	NS	Sh	2	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	87
52C	2970	5.470472478	5.470472478	7/16/14	52	C	H1697	3	6	2	2	2	38.4	NS	Sh	3	2	1	0	0	0	0	0	NA	NA	0	0	0	2	4	0	88
52D	4052	6.159876859	6.159876859	7/17/14	52	D	H1697	3	7	2	2	2	38.3	NS	NS	4	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	89
52E	3116	5.899446553	5.899446553	7/18/14	52	E	H1697	3	8	2	2	2	38.8	NS	NS	5	2	0	0	0	0	0	0	NA	NA	0	0	0	2	4	0	90
64A	3801	6.020380349	6.020380349	7/14/14	64	A	H2745	2	4	3	2	3	38.6	NS	NS	1	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	91
64B	3937	6.217620156	6.217620156	7/15/14	64	B	H2745	2	5	3	2	3	38.6	NS	NS	2	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	92
64C	2622	5.662418617	5.662418617	7/16/14	64	C	H2745	2	6	3	2	3	38.7	NS	NS	3	2	0	0	0	1	1	1	NA	NA	1	1	1	2	4	2	93
64D	2905	5.827523913	5.827523913	7/17/14	64	D	H2745	2	7	3	2	3	38.5	NS	NS	4	2	0	0	0	1	1	1	NA	NA	1	1	1	0	0	1	94
64E	1122	5.528338805	5.528338805	7/18/14	64	E	H2745	2	8	2	2	3	41.2	NS	Sh	5	2	3	1	1	1	1	1	NA	NA	1	1	1	1	1	2	95
57B	4461	6.103488744	6.103488744	7/15/14	57	B	H2812	1	10	3	3	2	38.8	NS	Sh	2	2	2	1	2	1	0	0	NA	NA	2	1	2	1	3	2	97
57C	4824	6.013629624	6.013629624	7/16/14	57	C	H2812	1	11	3	3	2	38.9	NS	NS	3	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	98
57D	3781	5.932299203	5.932299203	7/17/14	57	D	H2812	1	12	3	3	2	38.9	NS	NS	4	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	99
57E	4472	6.172338744	6.172338744	7/18/14	57	E	H2812	1	13	3	3	2	38.9	NS	NS	5	2	0	0	0	1	0	0	NA	NA	2	1	2	2	4	2	100
42A	4761	6.240370282	6.240370282	7/14/14	42	A	LL6881	5	7	2	2	2	39.3	Sh	Sh	1	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	101
42B	5273	6.549076188	6.549076188	7/15/14	42	B	LL6881	5	8	3	2	2	39.1	Sh	NS	2	1	0	0	0	0	2	1	59	63	0	0	0	2	4	0	102
42C	6078	6.487204616	6.487204616	7/16/14	42	C	LL6881	5	9	3	2	2	39.2	Sh	Sh	3	1	1	0	0	0	2	1	62	63	0	0	0	2	4	0	103
42D	4473	6.516443184	6.516443184	7/17/14	42	D	LL6881	5	10	3	2	2	38.9	Sh	Sh	4	1	1	0	0	0	2	1	66	63	0	0	0	2	4	0	104
42E	5058	6.255468972	6.255468972	7/18/14	42	E	LL6881	5	11	3	2	2	39.1	Sh	NS	5	1	0	0	0	0	2	1	62	63	0	0	0	2	4	0	105
45A	2986	6.14170741	6.14170741	7/14/14	45	A	LL11780	3	2	3	1	2	38.1	Sh	Sh	1	1	1	0	0	1	0	0	80	83	1	1	1	2	4	2	106
45B	1198	5.414527417	5.414527417	7/15/14	45	B	LL11780	3	3	3	1	2	38.5	Sh	Sh	2	1	1	0	0	1	0	0	77	83	1	1	1	2	4	2	107
45C	3654	6.148370565	6.148370565	7/16/14	45	C	LL11780	3	4	3	1	2	38.5	Sh	Sh	3	1	1	0	0	1	0	0	91	83	1	1	1	0	0	1	108
45D	3581	6.387289538	6.387289538	7/17/14	45	D	LL11780	3	5	3	1	2	38.5	Sh	Sh	4	1	3	1	1	1	0	0	83	83	1	1	1	1	1	2	109
45E	5722	6.410639266	6.410639266	7/18/14	45	E	LL11780	3	6	3	1	2	38.5	Sh	NS	5	1	0	0	0	1	0	0	84	83	1	1	1	2	4	2	110
20A	4747	6.37034817	6.37034817	7/14/14	20	A	LL11810	3	6	3	2	3	38.6	Sh	Sh	1	1	1	0	0	0	0	0	114	105.2	0	0	0	2	4	0	111
20B	4823	6.405808106	6.405808106	7/15/14	20	B	LL11810	3	7	3	2	3	38.7	Sh	NS	2	1	0	0	0	0	0	0	102	105.2	0	0	0	2	4	0	112
20C	6090	6.5007153	6.5007153	7/16/14	20	C	LL11810	3	8	3	2	3	38.6	Sh	Sh	3	1	1	0	0	0	0	0	96	105.2	0	0	0	2	4	0	113
20D	5357	6.41823432	6.41823432	7/17/14	20	D	LL11810	3	9	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	108	105.2	0	0	0	2	4	0	114
20E	4883	6.275996896	6.275996896	7/18/14	20	E	LL11810	3	10	3	2	3	39	Sh	NS	5	1	0	0	0	0	0	0	106	105.2	0	0	0	2	4	0	115
34A	4139	5.759751255	5.759751255	7/14/14	34	A	LL11816	3	5	3	2	3	38.7	Sh	Sh	1	1	1	0	0	0	0	0	110	103.4	0	0	0	2	4	0	116
34B	6940	6.370777337	6.370777337	7/15/14	34	B	LL11816	3	6	3	2	3	38.6	Sh	NS	2	1	0	0	0	0	0	0	98	103.4	0	0	0	2	4	0	117
34C	5896	6.409683161	6.409683161	7/16/14	34	C	LL11816	3	7	3	2	3	38.9	Sh	Sh	3	1	1	0	0	0	0	0	104	103.4	0	0	0	2	4	0	118
34D	1258	5.721516889	5.721516889	7/17/14	34	D	LL11816	3	8	3	2	3	38.7	Sh	Sh	4	1	1	0	0	0	0	0	80	103.4	0	0	0	2	4	0	119
34E	4333	6.231833082	6.231833082	7/18/14	34	E	LL11816	3	9	3	2	3	38.4	Sh	NS	5	1	0	0	0	0	0	0	125	103.4	0	0	0	2	4	0	120
38A	3693	5.893463049	5.893463049	7/14/14	38	A	LL12346	2	7	3	2	3	38.5	Sh	Sh	1	1	3	1	1	1	0	0	97	93.2	1	1	1	1	1	2	121
38B	4584	6.148640959	6.148640959	7/15/14	38	B	LL12346	2	8	3	2	3	38.4	Sh	NS	2	1	0	0	0	1	0	0	91	93.2	1	1	1	2	4	2	122
38C	3693	6.112981768	6.112981768	7/16/14	38	C	LL12346	2	9	3	2	3	38.5	Sh	NS	3	1	0	0	0	1	0	0	90	93.2	1	1	1	2	4	2	123
38D	4121	6.1201752	6.1201752	7/17/14	38	D	LL12346	2	10	3	2	3	38.5	Sh	NS	4	1	0	0	0	1	0	0	93	93.2	1	1	1	2	4	2	124
38E	3628	6.03281188	6.03281188	7/18/14	38	E	LL12346	2	11	3	2	3	38.4	Sh	NS	5	1	0	0	0	1	0	0	95	93.2	1	1	1	2	4	2	125
44A	4224	6.294159434	6.294159434	7/14/14	44	A	LL12415	2	3	3	3	3	39.8	Sh	Sh	1	1	1	0	0	0	1	1	65	54	0	0	0	2	4	0	126
44B	3669	6.041873392	6.041873392	7/15/14	44	B	LL12415	2	4	4	3	3	39.4	Sh	NS	2	1	0	0	0	0	1	1	49	54	0	0	0	2	4	0	127
44C	3716	5.926407726	5.926407726	7/16/14	44	C	LL12415	2	5	3	3	3	39.8	Sh	NS	3	1	0	0	0	0	1	1	48	54	0	0	0	2	4	0	128
44D	4424	6.006487277	6.006487277	7/17/14	44	D	LL12415	2	6	3	3	3	39.9	Sh	NS	4	1	0	0	0	0	1	1	51	54	0	0	0	2	4	0	129
44E	4209	5.747133071	5.747133071	7/18/14	44	E	LL12415	2	7	3	3	3	39.4	Sh	NS	5	1	0	0	0	0	1	1	57	54	0	0	0	2	4	0	130
18A	526	5.178176155	5.178176155	7/14/14	18	A	LL13016	1	10	3	2	3	39.1	Sh	Sh	1	1	1	0	0	1	2	1	77	77.8	2	1	2	2	4	2	131
18B	4714	6.218559975	6.218559975	7/15/14	18	B	LL13016	1	11	3	2	3	38.6	Sh	NS	2	1	0	0	0	1	2	1	NA	77.8	2	1	2	2	4	2	132
18C	6322	6.451364104	6.451364104	7/16/14	18	C	LL13016	1	12	3	2	3	38.6	Sh	Sh	3	1	1	0	0	1	2	1	71	77.8	2	1	2	2	4	2	133
18D	5676	6.54561154	6.54561154	7/17/14	18	D	LL13016	1	13	3	2	3	38.7	Sh	Sh	4	1	1	0	0	1	2	1	84	77.8	2	1	2	0	2	1	134
18E	5730	6.519747896	6.519747896	7/18/14	18	E	LL13016	1	14	3	2	3	38.5	Sh	Sh	5	1	2	1	2	1	2	1	79	77.8	2	1	2	1	3	2	135
35A	5859	6.684091359	6.684091359	7/14/14	35	A	LL13122	1	9	3	1	3	39.3	Sh	Sh	1	1	1	0	0	0	1	1	35	43.6	0	0	0	2	4	0	136
35B	4497	6.208831724	6.208831724	7/15/14	35	B	LL13122	1	10	4	1	3	38.8	Sh	NS	2	1	0	0	0	0	1	1	43	43.6	0	0	0	2	4	0	137
35C	4647	6.111496928	6.111496928	7/16/14	35	C	LL13122	1	11	3	1	3	38.3	Sh	NS	3	1	0	0	0	0	1	1	44	43.6	0	0	0	2	4	0	138
35D	5369	6.285177268	6.285177268	7/17/14	35	D	LL13122	1	12	3	1	3	38.8	Sh	NS	4	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	139
35E	5155	6.430901261	6.430901261	7/18/14	35	E	LL13122	1	13	3	1	3	38.6	Sh	NS	5	1	0	0	0	0	1	1	48	43.6	0	0	0	2	4	0	140
1A	3107	5.562498284	5.562498284	7/14/14	1	A	LL13140	1	14	2	2	3	38	Sh	Sh	1	1	1	0	0	2	2	1	45	47.8	3	1	3	2	4	2	141
1B	2910	5.413924833	5.413924833	7/15/14	1	B	LL13140	1	15	3	2	3	38.4	Sh	Sh	2	1	1	0	0	2	2	1	48	47.8	3	1	3	2	4	2	142
1C	602	4.708259123	4.708259123	7/16/14	1	C	LL13140	1	16	3	2	3	38.3	Sh	Sh	3	1	1	0	0	2	2	1	49	47.8	3	1	3	0	2	1	143
1D	2248	5.351172819	5.351172819	7/17/14	1	D	LL13140	1	17	1	2	3	38.6	Sh	Sh	4	1	2	1	2	2	2	1	46	47.8	3	1	3	1	3	2	144
1E	3333	5.636997019	5.636997019	7/18/14	1	E	LL13140	1	18	3	2	3	38.9	Sh	Sh	5	1	3	1	1	2	2	1	51	47.8	3	1	3	1	1	2	145
10A	4837	6.541182193	6.541182193	7/14/14	10	A	LL13254	1	11	3	2	2	38.9	Sh	Sh	1	1	3	1	1	2	2	1	73	62.6	3	1	1	1	1	2	146
10B	6006	6.761491682	6.761491682	7/15/14	10	B	LL13254	1	12	3	2	2	38.4	Sh	Sh	2	1	3	1	1	2	2	1	51	62.6	3	1	1	1	1	2	147
10C	5149	6.678226332	6.678226332	7/16/14	10	C	LL13254	1	13	3	2	2	38.6	Sh	Sh	3	1	3	1	1	2	2	1	61	62.6	3	1	1	1	1	2	148
10D	4590	6.620473611	6.620473611	7/17/14	10	D	LL13254	1	14	3	2	2	38.5	Sh	Sh	4	1	1	0	0	2	2	1	63	62.6	3	1	1	2	4	2	149
10E	4420	6.53873007	6.53873007	7/18/14	10	E	LL13254	1	15	3	2	2	38.3	Sh	Sh	5	1	1	0	0	2	2	1	65	62.6	3	1	1	2	4	2	150
6A	4365	6.34769367	6.34769367	7/14/14	6	A	LL7957	4	13	3	3	1	38.9	NS	NS	1	1	0	0	0	1	0	1	92	90	1	1	1	2	4	2	151
6B	4570	6.568755836	6.568755836	7/15/14	6	B	LL7957	4	14	3	3	1	38.3	NS	NS	2	1	0	0	0	1	0	1	82	90	1	1	1	2	4	2	152
6C	5061	6.392234789	6.392234789	7/16/14	6	C	LL7957	4	15	3	3	1	38.9	NS	NS	3	1	0	0	0	1	0	1	90	90	1	1	1	0	0	1	153
6D	4416	6.32039597	6.32039597	7/17/14	6	D	LL7957	4	16	3	3	1	38.2	NS	Sh	4	1	3	1	1	1	0	1	96	90	1	1	1	1	1	2	154
6E	1403	5.873412794	5.873412794	7/18/14	6	E	LL7957	4	17	3	3	1	38.8	NS	NS	5	1	0	0	0	1	0	1	90	90	1	1	1	2	4	2	155
